record_id	record_name	record_description	record_dbxrefs	record_annotations_molecule_type	record_annotations_topology	record_annotations_data_file_division	record_annotations_date	record_annotations_accessions	record_annotations_sequence_version	record_annotations_keywords	record_annotations_source	record_annotations_organism	record_annotations_taxonomy	feature_id	feature_type	feature_strand	feature_location_start	feature_location_end	feature_location_strand	feature_location_operator	feature_qualifier_organism	feature_qualifier_mol_type	feature_qualifier_db_xref	feature_qualifier_gene	feature_qualifier_note	feature_qualifier_codon_start	feature_qualifier_transl_table	feature_qualifier_regulatory_class	feature_qualifier_product	feature_qualifier_protein_id	feature_qualifier_strain	feature_qualifier_locus_tag	feature_qualifier_lab_host	feature_qualifier_isolate	feature_qualifier_allele	feature_qualifier_standard_name	feature_qualifier_mobile_element_type	feature_qualifier_EC_number	feature_qualifier_function	feature_qualifier_type_material	feature_qualifier_cultivar	feature_qualifier_chromosome	feature_qualifier_host	feature_qualifier_plasmid	feature_qualifier_country	feature_qualifier_collection_date	feature_qualifier_isolation_source	feature_qualifier_lat_lon	feature_qualifier_inference	feature_qualifier_clone	feature_qualifier_sub_strain	feature_qualifier_ecotype	feature_qualifier_gene_synonym	feature_qualifier_collected_by	feature_qualifier_sub_species	feature_qualifier_culture_collection	feature_qualifier_serovar	feature_qualifier_serotype	feature_qualifier_altitude	feature_qualifier_identified_by	feature_qualifier_mating_type	feature_qualifier_tissue_type	feature_qualifier_sex	feature_qualifier_dev_stage	feature_qualifier_PCR_primers	feature_qualifier_rpt_type	feature_qualifier_segment	feature_qualifier_specimen_voucher	feature_qualifier_citation	feature_qualifier_cell_type
AB364151.1	AB364151	S. pombe expression vector pHIS3K DNA, complete sequence		DNA	linear	SYN	06-SEP-2008	AB364151|REGION:|807..2259	1		Schizosaccharomyces pombe expression vector pHIS3K	Schizosaccharomyces pombe expression vector pHIS3K	other sequences|artificial sequences|vectors	<unknown id>	misc_feature	1	1440	1453	1		Schizosaccharomyces pombe expression vector pHIS3K	other DNA	taxon:477429	TEF1	derived from Cloning vector pUC119	1	11	terminator	G418-resistance gene	BAF90990.1																																								
AB364151.1	AB364151	S. pombe expression vector pHIS3K DNA, complete sequence		DNA	linear	SYN	06-SEP-2008	AB364151|REGION:|807..2259	1		Schizosaccharomyces pombe expression vector pHIS3K	Schizosaccharomyces pombe expression vector pHIS3K	other sequences|artificial sequences|vectors	<unknown id>	misc_feature	1	1440	1453	1		Schizosaccharomyces pombe expression vector pHIS3K	other DNA	taxon:477429	TEF1	derived from Cloning vector pUC119	1	11	terminator	G418-resistance gene	BAF90990.1																																								
AB364151.1	AB364151	S. pombe expression vector pHIS3K DNA, complete sequence		DNA	linear	SYN	06-SEP-2008	AB364151|REGION:|807..2259	1		Schizosaccharomyces pombe expression vector pHIS3K	Schizosaccharomyces pombe expression vector pHIS3K	other sequences|artificial sequences|vectors	<unknown id>	misc_feature	1	1440	1453	1		Schizosaccharomyces pombe expression vector pHIS3K	other DNA	taxon:477429	TEF1	derived from Cloning vector pUC119	1	11	terminator	G418-resistance gene	BAF90990.1																																								
AB364151.1	AB364151	S. pombe expression vector pHIS3K DNA, complete sequence		DNA	linear	SYN	06-SEP-2008	AB364151|REGION:|807..2259	1		Schizosaccharomyces pombe expression vector pHIS3K	Schizosaccharomyces pombe expression vector pHIS3K	other sequences|artificial sequences|vectors	<unknown id>	misc_feature	1	1440	1453	1		Schizosaccharomyces pombe expression vector pHIS3K	other DNA	taxon:477429	TEF1	derived from Cloning vector pUC119	1	11	terminator	G418-resistance gene	BAF90990.1																																								
AB364151.1	AB364151	S. pombe expression vector pHIS3K DNA, complete sequence		DNA	linear	SYN	06-SEP-2008	AB364151|REGION:|807..2259	1		Schizosaccharomyces pombe expression vector pHIS3K	Schizosaccharomyces pombe expression vector pHIS3K	other sequences|artificial sequences|vectors	<unknown id>	misc_feature	1	1440	1453	1		Schizosaccharomyces pombe expression vector pHIS3K	other DNA	taxon:477429	TEF1	derived from Cloning vector pUC119	1	11	terminator	G418-resistance gene	BAF90990.1																																								
AB364151.1	AB364151	S. pombe expression vector pHIS3K DNA, complete sequence		DNA	linear	SYN	06-SEP-2008	AB364151|REGION:|807..2259	1		Schizosaccharomyces pombe expression vector pHIS3K	Schizosaccharomyces pombe expression vector pHIS3K	other sequences|artificial sequences|vectors	<unknown id>	misc_feature	1	1440	1453	1		Schizosaccharomyces pombe expression vector pHIS3K	other DNA	taxon:477429	TEF1	derived from Cloning vector pUC119	1	11	terminator	G418-resistance gene	BAF90990.1																																								
AB364151.1	AB364151	S. pombe expression vector pHIS3K DNA, complete sequence		DNA	linear	SYN	06-SEP-2008	AB364151|REGION:|807..2259	1		Schizosaccharomyces pombe expression vector pHIS3K	Schizosaccharomyces pombe expression vector pHIS3K	other sequences|artificial sequences|vectors	<unknown id>	misc_feature	1	1440	1453	1		Schizosaccharomyces pombe expression vector pHIS3K	other DNA	taxon:477429	TEF1	derived from Cloning vector pUC119	1	11	terminator	G418-resistance gene	BAF90990.1																																								
AB364151.1	AB364151	S. pombe expression vector pHIS3K DNA, complete sequence		DNA	linear	SYN	06-SEP-2008	AB364151|REGION:|807..2259	1		Schizosaccharomyces pombe expression vector pHIS3K	Schizosaccharomyces pombe expression vector pHIS3K	other sequences|artificial sequences|vectors	<unknown id>	misc_feature	1	1440	1453	1		Schizosaccharomyces pombe expression vector pHIS3K	other DNA	taxon:477429	TEF1	derived from Cloning vector pUC119	1	11	terminator	G418-resistance gene	BAF90990.1																																								
AB364151.1	AB364151	S. pombe expression vector pHIS3K DNA, complete sequence		DNA	linear	SYN	06-SEP-2008	AB364151|REGION:|807..2259	1		Schizosaccharomyces pombe expression vector pHIS3K	Schizosaccharomyces pombe expression vector pHIS3K	other sequences|artificial sequences|vectors	<unknown id>	misc_feature	1	1440	1453	1		Schizosaccharomyces pombe expression vector pHIS3K	other DNA	taxon:477429	TEF1	derived from Cloning vector pUC119	1	11	terminator	G418-resistance gene	BAF90990.1																																								
AB364151.1	AB364151	S. pombe expression vector pHIS3K DNA, complete sequence		DNA	linear	SYN	06-SEP-2008	AB364151|REGION:|807..2259	1		Schizosaccharomyces pombe expression vector pHIS3K	Schizosaccharomyces pombe expression vector pHIS3K	other sequences|artificial sequences|vectors	<unknown id>	misc_feature	1	1440	1453	1		Schizosaccharomyces pombe expression vector pHIS3K	other DNA	taxon:477429	TEF1	derived from Cloning vector pUC119	1	11	terminator	G418-resistance gene	BAF90990.1																																								
